num;Datetime;hashtags
63;2022-01-30 01:42:12+00:00;['PokemonCelebrations', 'pokemon', 'PokemonTCG', 'PokemonTradingCardGame']
64;2022-01-29 22:38:47+00:00;['pokemoncelebrations', 'gardevoir', 'umbreon', 'rayquaza']
65;2022-01-29 15:43:53+00:00;['pokemontcg', 'pokemoncelebrations']
66;2022-01-29 00:03:08+00:00;['pokemon', 'pokémon', 'pokemoncards', 'pokemoncelebrations']
67;2022-01-28 17:29:08+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
68;2022-01-28 17:29:08+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
69;2022-01-28 17:27:53+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
70;2022-01-28 17:27:53+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
71;2022-01-28 06:09:03+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
72;2022-01-28 06:09:03+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
73;2022-01-28 04:58:43+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
74;2022-01-28 04:58:43+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
75;2022-01-27 23:36:04+00:00;['pokemoncelebrations', 'pokemon', 'pokemontcg', 'trainon', 'pokémon', 'pokémontcg', 'professoroak']
76;2022-01-27 23:29:56+00:00;['pokemoncelebrations', 'pokemon', 'pokemontcg', 'trainon', 'pokémon', 'pokémontcg']
77;2022-01-27 18:10:07+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
78;2022-01-27 18:04:15+00:00;['charizard', 'pokemoncelebrations']
79;2022-01-27 15:23:37+00:00;['Pokemon', 'PokemonTCG', 'PokemonCardgame', 'PokemonCelebrations', 'Pokemon25']
80;2022-01-27 13:50:09+00:00;['ThrowbackThursday', 'PokemonTCG', 'Pokemon', 'GoldenMew', 'Mew', 'PokemonCelebrations']
81;2022-01-27 11:06:10+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
82;2022-01-27 11:06:10+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
83;2022-01-27 10:49:04+00:00;['pokemoncelebrations']
84;2022-01-27 08:02:56+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
85;2022-01-27 08:02:55+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
86;2022-01-27 07:56:00+00:00;['Giveaway', 'Pokemon', 'PokemonCelebrations', 'PokemonTCG', 'TCG', 'TCGCardSearch', 'Celebrations', 'Pokemon25']
87;2022-01-27 05:01:53+00:00;['pokemontcg', 'Pokemon25', 'pokemoncelebrations']
88;2022-01-27 03:09:07+00:00;['pokemon', 'PokemonLEGENDS', 'PokemonTCG', 'pokemoncelebrations', 'Pikachu']
89;2022-01-26 22:14:31+00:00;['antanddec', 'smtv', 'pikachu', 'pokemon', 'pokemoncelebrations', 'pokemon25', 'pokemoncards']
90;2022-01-26 20:05:48+00:00;['pokemon', 'pokemon25', 'pokemon25thanniversary', 'pokemoncelebrations']
91;2022-01-26 20:03:54+00:00;['pokemoncelebrations', 'pokemon', 'pokémon', 'pokemoncards', 'pokemontcg', 'pokemonuk', 'pokemo']
92;2022-01-26 18:49:33+00:00;['pokemon', 'pokemoncelebrations', 'kanto', 'charmander', 'bulbasaur', 'squirtle', 'pokemoncards', 'pokemoncollection', 'pokemoncollector']
93;2022-01-26 16:58:45+00:00;['ai', 'robograding', 'pokemoncelebrations']
94;2022-01-26 16:25:52+00:00;['pokemon', 'pokemontcg', 'pokemoncelebrations', 'twitch', 'twitchstreamer', 'smallstreamer']
95;2022-01-26 11:37:47+00:00;['PokemonCelebrations']
96;2022-01-26 07:50:28+00:00;['celebrations', 'pokemoncelebrations', 'Pokemon', 'Mew', 'pokemonCards']
97;2022-01-26 04:21:27+00:00;['pokemon', 'pokemoncelebrations', 'TikTok']
98;2022-01-26 00:46:01+00:00;['Pokemon', 'PokemonCards', 'PokemonCelebrations', 'PokemonTCG', 'PokemonCollectors', 'Umbreon']
99;2022-01-25 23:24:03+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
100;2022-01-25 23:24:03+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
101;2022-01-25 22:29:39+00:00;['pokemontcg', 'pokemoncelebrations']
102;2022-01-25 22:19:44+00:00;['pokemoncelebrations', 'Pokémon', 'pokemon', 'Pokemontcg', 'pokémontcg', 'mimikyu']
103;2022-01-25 20:43:32+00:00;['PokemonTCG', 'pokemonCards', 'Pokemon', 'PokemonCelebrations']
104;2022-01-25 20:00:02+00:00;['pokemontcg', 'pokemoncelebrations', 'opening']
105;2022-01-25 17:59:01+00:00;['pokemon', 'pokemoncelebrations', 'celebrations', 'elitetrainerbox', 'pokemontcg', 'pokemoncards', 'pokemoncollector']
106;2022-01-25 17:58:58+00:00;['pokemon', 'pokemoncelebrations', 'celebrations', 'elitetrainerbox', 'pokemontcg', 'pokemoncards', 'pokemoncollector']
107;2022-01-25 02:12:15+00:00;['pokemoncelebrations', 'etb', 'smallstreamers', 'pokemon', 'pokemonCards', 'live']
108;2022-01-25 01:19:34+00:00;['PokemonTCG', 'PokemonCelebrations', 'TwitchStreamers', 'pokemonCards']
109;2022-01-25 00:54:41+00:00;['PokemonTCG', 'PokemonCelebrations', 'Pokemon']
110;2022-01-24 23:54:02+00:00;['90sKid', 'Nostalgia', 'Childhood', 'Pokemon', 'TCG', 'PokemonCards', 'Entei', 'Jhoto', 'NeoDiscovery', 'PokemonCelebrations']
111;2022-01-24 20:12:39+00:00;['Pokémon', 'Pokemontcg', 'pokecoins', 'pokemoncelebrations']
112;2022-01-24 18:09:08+00:00;['Pokemon', 'PokemonCelebrations', 'PokeFamilia']
113;2022-01-24 18:01:55+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
114;2022-01-24 18:01:55+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
115;2022-01-24 15:48:35+00:00;['Pokemon', 'PokemonTCG', 'PokemonCardGame', 'PokemonCelebrations']
116;2022-01-24 14:44:08+00:00;['pokemoncelebrations', 'PokemonTCG', 'pokemonCanada']
117;2022-01-24 10:55:28+00:00;['pokemontcg', 'codecards', 'poketubers', 'tradingcardgame', 'pokemoncelebrations', 'pokemon25']
118;2022-01-24 04:56:23+00:00;['Pokémon', 'pokemoncelebrations', 'TikTok']
119;2022-01-23 22:45:22+00:00;['pokemon', 'pokemontcg', 'PokemonCelebrations']
120;2022-01-23 06:48:11+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
121;2022-01-23 06:48:11+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
122;2022-01-23 04:51:07+00:00;['pokemon', 'pokemoncelebrations', 'pokedex', 'pokemontcg', 'anime', 'pokemoncards', 'ebay', 'pokemon25', 'pokemoncommunity', 'neogenesis']
123;2022-01-23 03:51:14+00:00;['pokemon', 'pokemonpulls', 'pokemoncelebrations']
124;2022-01-23 03:37:15+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
125;2022-01-23 03:37:15+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
126;2022-01-22 22:34:37+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
127;2022-01-22 22:34:37+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
128;2022-01-22 20:23:50+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
129;2022-01-22 20:23:50+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
130;2022-01-22 18:58:36+00:00;['Pokemon', 'PokemonCards', 'PokemonCelebrations', 'PokemonTCG', 'PokemonCollectors', 'DarknessAblaze', 'VividVoltage', 'BattleStyles', 'FusinStrike', 'SwordAndShield']
131;2022-01-22 15:44:10+00:00;['pokemon', 'PokemonCelebrations', 'PokemonTCG', 'PokemonTradingCardGame']
132;2022-01-22 15:18:45+00:00;['PokemonCelebrations', 'pokemon', 'PokemonTCG', 'PokemonTradingCardGame']
133;2022-01-22 15:10:21+00:00;['PokemonCelebrations', 'pokemon', 'PokemonTCG', 'PokemonTradingCardGame']
134;2022-01-22 13:38:46+00:00;['pokemon', 'pokemontcg', 'pokemoncards', 'pokemoncollector', 'pokemoncelebrations']
135;2022-01-22 07:57:56+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
136;2022-01-22 07:57:56+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
137;2022-01-22 05:00:20+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
138;2022-01-22 05:00:20+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
139;2022-01-22 03:00:36+00:00;['PokemonTCG', 'PokemonCelebrations']
140;2022-01-22 00:49:36+00:00;['Pikachu', 'pokemon', 'pokemoncards', 'pokemoncelebrations']
141;2022-01-21 22:26:55+00:00;['90skid', 'Nostalgia', 'Pokemon', 'Childhood', 'StarWars', 'PokemonCelebrations', 'C3PO', 'FunkoPop', 'Squirtle', 'Target']
142;2022-01-21 20:06:54+00:00;['upc', 'pokemontcg', 'tcgplayer', 'pokemoncelebrations']
143;2022-01-21 19:00:02+00:00;['pokemoncelebrations', 'pokemon', 'miamicomics', 'pikachu', 'charmeleon']
144;2022-01-21 16:34:29+00:00;['PokemonCelebrations', 'Giveaway']
145;2022-01-21 15:27:24+00:00;['pokemonuk', 'pokemon', 'pokemon25', 'pokemoncelebrations']
146;2022-01-21 14:20:37+00:00;['pokemon', 'PokemonCelebrations', 'pikachu', 'FPI', 'shefffield', 'sheffieldhallam']
147;2022-01-21 14:10:17+00:00;['Pokemon', 'PokemonTCG', 'PokemonCardGame', 'PokemonCelebrations', 'Pokemon25', 'PokemonLEGENDS']
148;2022-01-21 06:22:41+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
149;2022-01-21 06:22:41+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
150;2022-01-21 04:57:35+00:00;['pokemonCards', 'pokemonCelebrations', 'Celebrations', 'Ad']
151;2022-01-21 04:57:35+00:00;['pokemonCards', 'pokemonCelebrations', 'Celebrations', 'Ad']
152;2022-01-21 04:50:30+00:00;['pokemoncards', 'pokémon', 'pokemontcg', 'pokemoncommunity', 'pokemoncelebrations', 'rayquaza']
153;2022-01-21 01:04:19+00:00;['PokemonTCG', 'Pokemon', 'Pokemon25', 'PokemonCards', 'PokemonCelebrations']
154;2022-01-21 00:45:37+00:00;['pokemonCards', 'pokemonCelebrations', 'Celebrations', 'Ad']
155;2022-01-21 00:45:37+00:00;['pokemonCards', 'pokemonCelebrations', 'Celebrations', 'Ad']
156;2022-01-20 21:11:04+00:00;['dragonworldgames', 'PokemonTCG', 'pokemoncelebrations', 'fusionstrike', 'trainerstoolkit', 'charizard', 'sylveon', 'starterdeck']
157;2022-01-20 20:03:21+00:00;['pokemon', 'pokemoncards', 'pikachu', 'birthdaypikachu', 'pokémon', 'etb', 'pokemonetb', 'pokemoncelebrations']
158;2022-01-20 18:44:11+00:00;['Pokemon', 'PokemonTCG', 'PokemonCardGame', 'PokemonCelebrations', 'Pokemon25']
159;2022-01-20 16:50:22+00:00;['POKEMON', 'EvolvingSkies', 'ChillingReign', 'PokemonCards', 'PokemonCelebrations', 'Cinderace', 'VMAX', 'Rayquazza', 'PokemonCollectors']
160;2022-01-20 16:42:13+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
161;2022-01-20 16:42:13+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
162;2022-01-20 15:24:19+00:00;['PokemonCelebrations', 'TikTok', 'simpsonvlogs', 'Pokemon']
163;2022-01-20 10:33:22+00:00;['pokemon', 'pokemoncelebrations', 'pokemon25thanniversary', 'pikachu', 'vunion', 'pokemontcg', 'pkm', 'pkmtcg']
164;2022-01-20 06:36:18+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
165;2022-01-20 06:36:18+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
166;2022-01-20 05:04:07+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
167;2022-01-20 05:04:07+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
168;2022-01-19 22:37:57+00:00;['PokemonTCG', 'Pokemon', 'Pokemon25', 'PokemonCards', 'PokemonCelebrations']
169;2022-01-19 20:31:04+00:00;['pokemon', 'pokemoncelebrations', 'kantopokemon', 'pokedex', 'pokemontcg', 'anime', 'pokemoncards', 'ebay', 'pokemon25', 'pokemoncommunity']
170;2022-01-19 20:29:48+00:00;['pokemon', 'pokemoncelebrations', 'pokedex', 'pokemontcg', 'anime', 'pokemoncards', 'ebay', 'pokemon25', 'pokemoncommunity']
171;2022-01-19 20:09:43+00:00;['pokemon', 'pokemoncelebrations', 'pokemonopening']
172;2022-01-19 19:14:55+00:00;['tradingcards', 'pokemon', 'pokemontradingcardgame', 'pokemoncelebrations', 'basketballcards', 'basketballballtradingcards']
173;2022-01-19 19:01:05+00:00;['Pokemon', 'PokemonCards', 'Pokemon25', 'PokemonCelebrations', 'Pokemon25thAnniversary', 'PokemonCollectors']
174;2022-01-19 18:14:00+00:00;['PokemonCelebrations', 'simpsonvlogs']
175;2022-01-19 16:58:31+00:00;['PokemonCelebrations', 'TikTok', 'simpsonvlogs', 'pokemon']
176;2022-01-19 15:47:25+00:00;['Pokemon', 'PokemonTCG', 'PokemonCelebrations', 'Charizard']
177;2022-01-19 07:58:13+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
178;2022-01-19 07:58:13+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
179;2022-01-19 06:30:11+00:00;['Pokemon', 'pokemon25thanniversary', 'PassionTradingCards', 'Lucky', 'PokemonCelebrations']
180;2022-01-19 02:54:27+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
181;2022-01-19 02:54:27+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
182;2022-01-19 02:24:50+00:00;['hiddenfates', 'shiningfates', 'pokemoncelebrations', 'pokemon25', 'PokemonTCG']
183;2022-01-19 00:36:11+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
184;2022-01-19 00:36:11+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
185;2022-01-18 23:17:23+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
186;2022-01-18 23:17:23+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
187;2022-01-18 23:16:11+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
188;2022-01-18 23:16:11+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
189;2022-01-18 20:05:42+00:00;['Pokemon', 'PokemonTCG', 'pokemoncommunity', 'pokemoncards', 'collector', 'YouTube', 'Subscribetomychannel', 'celebrations', 'pokemoncelebrations']
190;2022-01-18 19:37:52+00:00;['pokemon', 'pokemoncards', 'pokemoncelebrations']
191;2022-01-18 18:10:02+00:00;['PokemonCelebrations', 'simpsonvlogs']
192;2022-01-18 18:05:58+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
193;2022-01-18 18:05:58+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
194;2022-01-18 16:18:00+00:00;['Pokemon', 'umbreon', 'pokemoncelebrations', 'PokemonTCG']
195;2022-01-18 14:54:35+00:00;['Pokemon', 'PokemonTCG', 'PokemonCardGame', 'PokemonCelebrations']
196;2022-01-18 11:49:32+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
197;2022-01-18 11:49:31+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
198;2022-01-18 09:54:56+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
199;2022-01-18 09:54:56+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
200;2022-01-18 08:50:56+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
201;2022-01-18 08:50:56+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
202;2022-01-18 07:36:47+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
203;2022-01-18 07:36:47+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
204;2022-01-18 05:41:09+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
205;2022-01-18 05:41:09+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
206;2022-01-17 23:26:24+00:00;['Pokemon', 'PokemonTCG', 'PokemonCardGame', 'PokemonCelebrations']
207;2022-01-17 22:49:52+00:00;['pokemontcgdrops', 'pokemontcg', 'pokemon', 'pokemoncelebrations']
208;2022-01-17 21:09:31+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
209;2022-01-17 21:09:28+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
210;2022-01-17 04:59:44+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
211;2022-01-17 04:59:44+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
212;2022-01-17 02:43:49+00:00;['PokemonCelebrations', 'Pokemon', 'PokemonTCG', 'PokemonTradingCardGame']
213;2022-01-17 02:12:49+00:00;['PokemonCelebrations', 'pokemon', 'PokemonTCG', 'PokemonTradingCardGame']
214;2022-01-16 20:01:22+00:00;['PokemonCelebrations', 'Pokemon25']
215;2022-01-16 19:30:11+00:00;['pokemon', 'pokemontcg', 'nintendo', 'pokemoncelebrations', 'pokemoncards', 'eeveelutions']
216;2022-01-16 18:55:22+00:00;['Pokemon', 'PokemonTCG', 'PokemonCardGame', 'PokemonCelebrations']
217;2022-01-16 18:52:40+00:00;['pokemon', 'pokemoncelebrations', 'etb', 'pokémon', 'pokemoncards', 'pokemoncommunity', 'pokemoncollector']
218;2022-01-16 17:24:28+00:00;['pokemontcg', 'pokemoncards', 'nintendo', 'pokemoncelebrations']
219;2022-01-16 17:22:27+00:00;['pokemontcg', 'pokemoncelebrations', 'nintendo', 'pokemoncards', 'charizard']
220;2022-01-16 10:00:03+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
221;2022-01-16 09:59:59+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
222;2022-01-16 00:02:43+00:00;['pokemoncommunity', 'pokemoncelebrations', 'pokemontcg']
223;2022-01-15 23:16:02+00:00;['Pokemon', 'PokemonCelebrations', 'Giveaways', 'Funko', 'FunkoPop', 'FunkoFinderz']
224;2022-01-15 21:24:35+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
225;2022-01-15 21:24:35+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
226;2022-01-15 20:58:52+00:00;['pokemon', 'pokemoncelebrations', 'pokemontrainer', 'pokemoncards', 'rgtxkent']
227;2022-01-15 18:32:20+00:00;['venusaur', 'blastoise', 'mewtwo', 'Pokemon', 'PokemonCards', 'Pokemon25', 'PokemonCelebrations', 'Pokemon25thAnniversary', 'PokemonCollectors']
228;2022-01-15 17:58:30+00:00;['Pokemon', 'PokemonCards', 'Pokemon25', 'PokemonCelebrations', 'Pokemon25thAnniversary']
229;2022-01-15 15:15:33+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
230;2022-01-15 15:15:33+00:00;['pokemonCards', 'pokemonCelebrations', 'celebrations', 'Ad']
231;2022-01-15 11:24:39+00:00;['Pokemon', 'PokemonCelebrations', 'Giveaways', 'Funko', 'FunkoPop', 'FunkoFinderz']
232;2022-01-15 09:34:29+00:00;['pokemon', 'PokemonCelebrations']
233;2022-01-15 06:58:31+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
234;2022-01-15 06:58:31+00:00;['pokemonCards', 'celebrations', 'pokemonCelebrations', 'Ad']
